document_id,source_relative_path,source_sha256,page_number,text_file,review_reasons,ocr_average_confidence,visual_comparison_status,corrected_text_file,reviewer_decision,ambiguity_notes,claim_quotation_allowed
pdb_25jun2020_declass_redacted_ab523302b7e2,2. ChinaAcquisitionExploitationAmericanVoterData\PDB 25JUN2020_DECLASS_REDACTED.pdf,ab523302b7e2c77b5d530b1483f668e76581accbb0eb14180ab1d1a7acfd3302,2,page_text\pdb_25jun2020_declass_redacted_ab523302b7e2\page_0002.txt,low_ocr_confidence;low_text_yield,0.0,not_reviewed,,,,
prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf,fc1f06c2cd5abd40c5d5c4a918ec57e5d350d54297cb33368ae49eb58d705e81,1,page_text\prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a\page_0001.txt,low_ocr_confidence,53.21965317919075,not_reviewed,,,,
prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf,fc1f06c2cd5abd40c5d5c4a918ec57e5d350d54297cb33368ae49eb58d705e81,2,page_text\prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a\page_0002.txt,low_ocr_confidence,50.026315789473685,not_reviewed,,,,
prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf,fc1f06c2cd5abd40c5d5c4a918ec57e5d350d54297cb33368ae49eb58d705e81,4,page_text\prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a\page_0004.txt,low_ocr_confidence;low_text_yield,0.0,not_reviewed,,,,
prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf,fc1f06c2cd5abd40c5d5c4a918ec57e5d350d54297cb33368ae49eb58d705e81,5,page_text\prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a\page_0005.txt,low_ocr_confidence;low_text_yield,0.0,not_reviewed,,,,
prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf,fc1f06c2cd5abd40c5d5c4a918ec57e5d350d54297cb33368ae49eb58d705e81,6,page_text\prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a\page_0006.txt,low_ocr_confidence;low_text_yield,0.0,not_reviewed,,,,
prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf,fc1f06c2cd5abd40c5d5c4a918ec57e5d350d54297cb33368ae49eb58d705e81,7,page_text\prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a\page_0007.txt,low_ocr_confidence;low_text_yield,22.61111111111111,not_reviewed,,,,
prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf,fc1f06c2cd5abd40c5d5c4a918ec57e5d350d54297cb33368ae49eb58d705e81,8,page_text\prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a\page_0008.txt,low_ocr_confidence;low_text_yield,36.083333333333336,not_reviewed,,,,
prc_target_2024_election_2023_clean_declass_marked_redacted_a809fb5ace7f,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Target 2024 Election 2023 - clean - declass marked_Redacted.pdf,a809fb5ace7f3a5b1a9748e243fd9e5f008e55fcec93352009e5eb2ee08695e7,1,page_text\prc_target_2024_election_2023_clean_declass_marked_redacted_a809fb5ace7f\page_0001.txt,low_ocr_confidence,33.126126126126124,not_reviewed,,,,
prc_target_2024_election_2023_clean_declass_marked_redacted_a809fb5ace7f,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Target 2024 Election 2023 - clean - declass marked_Redacted.pdf,a809fb5ace7f3a5b1a9748e243fd9e5f008e55fcec93352009e5eb2ee08695e7,2,page_text\prc_target_2024_election_2023_clean_declass_marked_redacted_a809fb5ace7f\page_0002.txt,low_ocr_confidence,44.15730337078652,not_reviewed,,,,
prc_target_2024_election_2023_clean_declass_marked_redacted_a809fb5ace7f,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Target 2024 Election 2023 - clean - declass marked_Redacted.pdf,a809fb5ace7f3a5b1a9748e243fd9e5f008e55fcec93352009e5eb2ee08695e7,3,page_text\prc_target_2024_election_2023_clean_declass_marked_redacted_a809fb5ace7f\page_0003.txt,low_ocr_confidence,71.33333333333333,not_reviewed,,,,
prc_target_2024_election_2023_clean_declass_marked_redacted_a809fb5ace7f,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Target 2024 Election 2023 - clean - declass marked_Redacted.pdf,a809fb5ace7f3a5b1a9748e243fd9e5f008e55fcec93352009e5eb2ee08695e7,6,page_text\prc_target_2024_election_2023_clean_declass_marked_redacted_a809fb5ace7f\page_0006.txt,low_ocr_confidence;low_text_yield,0.0,not_reviewed,,,,
prc_u_s_presidential_election_related_intelligence_in_2020_clean_declass_91565055d7ed,2. ChinaAcquisitionExploitationAmericanVoterData\PRC U.S. Presidential Election-Related Intelligence in 2020 - clean - declass marked_Redacted.pdf,91565055d7ed239f44d40bd990197ea1830814c48a154c6db6e8bdfb88809e5c,4,page_text\prc_u_s_presidential_election_related_intelligence_in_2020_clean_declass_91565055d7ed\page_0004.txt,low_ocr_confidence;low_text_yield,0.0,not_reviewed,,,,
prc_us_voter_data_7_states_2023_clean_declass_marked_redacted_506d61a75e25,2. ChinaAcquisitionExploitationAmericanVoterData\PRC US Voter Data 7 States 2023 - clean - declass marked_Redacted.pdf,506d61a75e258e2537bc06d369e8ecf97af68a61e581024bbc71fed3d8afe922,1,page_text\prc_us_voter_data_7_states_2023_clean_declass_marked_redacted_506d61a75e25\page_0001.txt,low_ocr_confidence,42.18939393939394,not_reviewed,,,,
prc_us_voter_data_7_states_2023_clean_declass_marked_redacted_506d61a75e25,2. ChinaAcquisitionExploitationAmericanVoterData\PRC US Voter Data 7 States 2023 - clean - declass marked_Redacted.pdf,506d61a75e258e2537bc06d369e8ecf97af68a61e581024bbc71fed3d8afe922,3,page_text\prc_us_voter_data_7_states_2023_clean_declass_marked_redacted_506d61a75e25\page_0003.txt,low_text_yield,95.63636363636364,not_reviewed,,,,
tasking_3_albanybriefinghandout_297e_hq_a4095996_notserialized_jet_r_rel_3a12fd071838,2. ChinaAcquisitionExploitationAmericanVoterData\Tasking_3_AlbanyBriefingHandout_297E_HQ_A4095996_NotSerialized-JET-R RELEASE MARKED.pdf,3a12fd071838ce6e90acf284a97cffbf7b9a47499325d6e80f005941539e073a,3,page_text\tasking_3_albanybriefinghandout_297e_hq_a4095996_notserialized_jet_r_rel_3a12fd071838\page_0003.txt,low_text_yield,95.29411764705884,not_reviewed,,,,
tasking_3_albanybriefinghandout_297e_hq_a4095996_notserialized_jet_r_rel_3a12fd071838,2. ChinaAcquisitionExploitationAmericanVoterData\Tasking_3_AlbanyBriefingHandout_297E_HQ_A4095996_NotSerialized-JET-R RELEASE MARKED.pdf,3a12fd071838ce6e90acf284a97cffbf7b9a47499325d6e80f005941539e073a,4,page_text\tasking_3_albanybriefinghandout_297e_hq_a4095996_notserialized_jet_r_rel_3a12fd071838\page_0004.txt,low_ocr_confidence,65.98984771573605,not_reviewed,,,,
tasking_3_albanybriefinghandout_297e_hq_a4095996_notserialized_jet_r_rel_3a12fd071838,2. ChinaAcquisitionExploitationAmericanVoterData\Tasking_3_AlbanyBriefingHandout_297E_HQ_A4095996_NotSerialized-JET-R RELEASE MARKED.pdf,3a12fd071838ce6e90acf284a97cffbf7b9a47499325d6e80f005941539e073a,35,page_text\tasking_3_albanybriefinghandout_297e_hq_a4095996_notserialized_jet_r_rel_3a12fd071838\page_0035.txt,low_ocr_confidence,74.63970588235294,not_reviewed,,,,
us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc,2. ChinaAcquisitionExploitationAmericanVoterData\US Voter Registration  for 6 States - clean - declass marked_Redacted.pdf,ac95b16038bc58837c9800bfc37cb3b208bf45f7ae9fdde7da811ed887ecffe1,1,page_text\us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc\page_0001.txt,low_ocr_confidence,61.62109375,not_reviewed,,,,
us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc,2. ChinaAcquisitionExploitationAmericanVoterData\US Voter Registration  for 6 States - clean - declass marked_Redacted.pdf,ac95b16038bc58837c9800bfc37cb3b208bf45f7ae9fdde7da811ed887ecffe1,4,page_text\us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc\page_0004.txt,low_text_yield,96.0,not_reviewed,,,,
us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc,2. ChinaAcquisitionExploitationAmericanVoterData\US Voter Registration  for 6 States - clean - declass marked_Redacted.pdf,ac95b16038bc58837c9800bfc37cb3b208bf45f7ae9fdde7da811ed887ecffe1,5,page_text\us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc\page_0005.txt,low_text_yield,95.3846153846154,not_reviewed,,,,
us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc,2. ChinaAcquisitionExploitationAmericanVoterData\US Voter Registration  for 6 States - clean - declass marked_Redacted.pdf,ac95b16038bc58837c9800bfc37cb3b208bf45f7ae9fdde7da811ed887ecffe1,6,page_text\us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc\page_0006.txt,low_ocr_confidence;low_text_yield,0.0,not_reviewed,,,,
pin_edmi_declination_release_marked_c1dce1a99c75,3. MichiganVoterRegistrationInvestigation\PIN EDMI declination - RELEASE MARKED.pdf,c1dce1a99c75d4842c66947d53b7a6c13f691d1933c12fe2519d77e7db14ffc2,4,page_text\pin_edmi_declination_release_marked_c1dce1a99c75\page_0004.txt,low_text_yield,95.85714285714286,visually_confirmed,,not_quotable,"Page contains only a release marking and a small redaction block; it has no substantive content to quote.",no
